Oraciones,Emotions
" Pero, por supuesto, la Argentina es el país más cerrado.",Positivo
 y no menos una devaluación va a producir,Negativo
 el fin de marzo,Positivo
" de altísima angustia, resignación.",Muy negativo
 garantizó un interés que es el único interés que yo,Positivo
" cosas concretas, ¿crees?",Positivo
 Porque hoy en la Argentina la situación de la educación es alarmante. Cada año que pasa vemos que la educación no mejora.,Muy negativo
 con misiles y con bombas?,Muy negativo
 muchísimas gracias gracias carlos,Muy positivo
 una convicción para transformar y para ponerle al país,Positivo
 pero para 4 de cada 10 argentinos la angustia es todavía peor.,Muy negativo
 junto al ex presidente?,Positivo
 deberían tener el 40% de su producto en exportaciones.,Negativo
" y no hicieron nada en la seguridad, tiene un ministerio de educación",Negativo
 porque acá no hay nadie de la capital que venga a seguir hombro,Negativo
" La Argentina lleva años, décadas, sin crecer, sin avanzar.",Negativo
 lo que cuesta a cada uno de los presos,Negativo
 veíamos cómo le cambiaba la vida a la gente.,Muy positivo
" hay que sentarse y consensuar, no con todos,",Negativo
" No, pero sí, creo en el psicoanálisis, por supuesto.",Negativo
 No es estar viendo las consecuencias políticas,Neutral
 las urnas todo eso por eso por eso siento que la,Positivo
 trabajar ver los candidatos del pro obviamente tanto él,Positivo
" Durante más de 15 años gobernamos con un plan,",Positivo
 Para nosotros el valor de la palabra y del compromiso son esenciales.,Positivo
" Con lo cual dije, nos esperamos más",Positivo
" Primero, segundo, yo no me defino por la comparación.",Neutral
 no sabía en todos los países,Negativo
" tenemos una ciudad con desafíos muy grandes,",Muy negativo
 que te inviten la mancha veneno,Neutral
 Los estereotipos tampoco son claros.,Negativo
 Porque con la mirada se dicen muchas cosas.,Positivo
 somos los capital más seguros de toda latinoamérica,Positivo
" Ya reconocieron, ya reconocieron, a más de 130 oficiales,",Positivo
 nos alcance estamos paz y desarrollo o sea paz y crecimiento,Positivo
" gente a nivel de la provincia,",Positivo
" Ahora, para que estas industrias progresen,",Positivo
 10 minutos.,Positivo
 que continuaría el quisnerismo al,Negativo
 tenemos un desayuno de trabajo toda la,Positivo
 habitación de carrera bueno ratio,Muy positivo
 los cortes de 9 de julio?,Positivo
" hay muchos federales que sobrevivieron,",Positivo
 con que muera uno es un drama tremendo,Muy negativo
 de digitalizarlos y eliminarlos que no sirven.,Negativo
 Yo lo que pretendo es ayudar acercando soluciones.,Positivo
" Listo, perfecto.",Muy positivo
 tiene gente que vive en una situación,Negativo
" Buenas tardes, Alejandro Cancelare.",Positivo
" Entonces, lo que promueves",Positivo
 como viene siendo la política argentina del último casi,Positivo
 te pongo frente a dos modelos de conducta,Positivo
 a la justicia,Positivo
 Te preocupa la grieta.,Muy negativo
 perdían sus seres queridos,Negativo
" que puedan elegir su camino con igualdad de oportunidades,",Positivo
 después la pandemia,Negativo
 Lo asesinaron en Mar del Plata el día del padre.,Negativo
" Y esto es solo el principio. Tenemos en los próximos años previsto potenciar los aprendizajes de ciencia, matemática y tecnología.",Positivo
 gente que tiene miedo de salir de la,Negativo
 cambio y recorre la provincia tuve en,Negativo
" Ni te preocupa eso, no puede pasar nunca.",Muy negativo
 Hoy la situación es diferente.,Negativo
 no en avellaneda perfectamente,Negativo
 a la presidencia compartida con otro de los agentes,Positivo
 Te agradezco mucho.,Muy positivo
 locos que el estado nos deje laborar,Negativo
" Y dejar que la gente trabaje,",Negativo
 Te lo digo a vos mirando los ojos,Positivo
 las misiones,Muy negativo
 si yo estiendo a creer que no hay que hacer y,Neutral
 no te piden casco,Negativo
 conurbano sintetizanos que percibes,Positivo
 replicable por ejemplo del conurbano,Positivo
" o terminamos con las peleas,",Neutral
 dialogarán con los diputados,Positivo
" que es la primera vez, desde la vuelta de la democracia,",Positivo
 Pero le sacan el plan,Positivo
" Bueno, porque le sacan el plan",Positivo
" Tuvimos momentos donde nos entendimos más,",Positivo
 Es la tasa delito más baja de toda Latinoamérica.,Negativo
" eramos varios en la mesa,",Positivo
 Es una reta en campaña presidencial.,Negativo
 cuando nosotros creemos que la seguridad es prioridad,Positivo
 Lo buscan en los barrios,Positivo
 Yo me comprometo a dialogar,Positivo
 y es uno de los responsables,Positivo
" Años de impulsar cambios, como hicimos en la ciudad de Buenos Aires.",Positivo
 Ahora sabemos que la integración real es un proceso largo,Positivo
" Durante más de 15 años gobernamos con un plan,",Positivo
" cuando para mí la apertura al mundo, la inserción,",Positivo
 de la historia de la ciudad,Positivo
 Y tiene que acompañarlos en su desarrollo.,Positivo
 Ya llevamos construidas más de 100 escuelas en 15 años.,Positivo
 y meterlo en cana,Positivo
" no veo posibilidad de acuerdo,",Negativo
 dentro de un gran parque verde y público.,Muy positivo
" En los barrios populares de cada provincia hay chicos que no tienen para comer,",Muy negativo
 los dos candidatos digamos magnitios que ella te va a decir,Muy positivo
" Esto es nivelar para arriba, esto es dar herramientas para salir adelante.",Neutral
 Por eso la seguridad es otra prioridad central de nuestro gobierno.,Positivo
" Viste Luis, subiste",Positivo
" Y digo integrar, porque va más allá de urbanizar.",Positivo
 hay otro argumento que es defender la autonomía,Neutral
 y la peleo todos los días,Negativo
 y no se va a hacer un cambio de manera,Negativo
 lo que nos une que lo que nos divide.,Negativo
 igual a muchas de la ciudad de Latinoamérica o al conurbano.,Neutral
 jubilaciones en su nivel más bajo la,Negativo
 Te estaba apuntando de que a veces...,Negativo
 Priorizamos el cuidado de los chicos abriendo 75 centros de primera infancia,Positivo
 obviamente plantándose la policía.,Positivo
 que se te plante y empieces a tener manifestaciones movidas.,Positivo
 Hay que hacerlo en serio.,Positivo
" Reconocimos a los docentes aumentando sus horas de capacitación, creando la Universidad de la Ciudad y reformando el Estatuto del Docentes para reconocer y valorar el mérito en la carrera.",Positivo
 aires cuando esa relación se rompe,Muy negativo
" Bueno, que eso es una ciudad extremadamente rica,",Positivo
" familias enteras que ya no saben qué inventar para salir adelante,",Muy negativo
" Si la gente ve que la ciudad está bien,",Positivo
" Pero, ¿no es una manifestación?",Negativo
 que está pasando hoy con el peronismo,Muy negativo
 gran ingreso de dólares con el tiempo puede,Muy positivo
 que vinculó como nunca a los vecinos y el Gobierno,Positivo
 mataron el kiosquero y en ramos mejía,Negativo
 y te agradezco por lo que dijiste,Positivo
 en juntos por el cambio que expectativa,Positivo
" pero hoy, yo estoy trabajando a pleno en la Ciudad de Buenos Aires,",Neutral
 y promoviendo una Argentina productiva.,Positivo
" donde el trabajo valga, donde se valora el esfuerzo,",Positivo
" No, se arrepintió",Negativo
 Pensáeme que están todos viéndote.,Positivo
 tenemos que una visión de largo plazo,Positivo
 y con el odio en las redes sociales.,Muy negativo
 le sacó la guita,Positivo
 entonces estas décadas últimas populista que vivimos en la,Positivo
 y si no se gamo la por la mitad,Neutral
 Dicen que no le van a sacar el plan,Negativo
" pero primero va a tener que superar la primaria,",Positivo
 Sin duda.,Negativo
 hay que estudiar hay que entender bien,Positivo
" Los países crecen desde la libertad, no desde el miedo.",Positivo
 El mismo compromiso necesitamos del Gobierno Nacional,Positivo
" Para eso, vamos a impulsar una profunda transformación productiva.",Positivo
 y es un resumen de lo que fue la gestión de juntos por el cambio,Positivo
 No sé cómo me lo contó Horacio.,Negativo
 y que mientras avanzamos hay familias que necesitan la asistencia del Estado.,Positivo
 ¿Cómo quedaste con...,Muy negativo
 o esa piedra?,Muy negativo
 el momento bueno explicar bueno primero,Positivo
" Los cortos periodos de crecimiento no se sostienen,",Negativo
 me parece me cuesta creer a ver que la,Muy positivo
" 200 años, bueno, de 150 años para hacer más precisos.",Muy positivo
 ha agotado el modelo de la pelea.,Muy negativo
" Conurbano está terrible, en zonas como Rosario.",Muy negativo
" pasaron dos años, se inundaba.",Muy negativo
 le sacás la intermediación,Positivo
 estudiar eso es una alternativa si el tema la,Positivo
 bajar la inflación no le creas son,Negativo
" Entonces, si realmente uno que gobierna está convencido",Positivo
 laburando todo el día para eso,Positivo
" en otros menos, surgieron debates acalorados,",Positivo
 y lo cumplo,Positivo
" Está bueno para que se lo diga a los gringos,",Positivo
" que pensamos distinto, pero que compartimos un objetivo",Positivo
 de ideas nuevas.,Positivo
 Y un avance a partir del trabajo en la policía de la ciudad.,Positivo
" ¿Se acuerdan que lo acuchiciaron en el pecho,",Positivo
" donde estamos, pero fraga",Negativo
 cómo es el mercado del litio a qué,Positivo
" exportemos alimentos con trabajo argentino,",Positivo
 porque además hoy los tenemos ya que cumplimos con el compromiso de crear el mapa del delito.,Positivo
 o el que el adversario electoral pasa a ser un enemigo.,Muy negativo
 Nadie puede discutir que estás realmente bien,Positivo
 tiene ningún elemento de trabajo le,Neutral
" Ha estado bien administrada con un plan,",Positivo
" la energía, sobre todo en el sur del país,",Positivo
 la cabeza,Positivo
 son familias que,Positivo
" Menos más que bien, eso sabía que venía, ayer dije que iba a estar acá",Muy negativo
 Hoy la realidad es otra.,Negativo
 Yo cuando vi las vallas...,Positivo
 te hace un helicóptero amarillo,Positivo
 la ciudad y que haya un día donde se discute sobre la ciudad,Positivo
 que pueda mandar a sus hijos a una escuela pública de calidad.,Positivo
 porque si no va le sacan el plan,Negativo
" padres a los que no les alcanzan las changas para llegar a fin de mes,",Negativo
 agresión,Negativo
 nosotros el trabajo,Neutral
 a dos metros de la capital,Positivo
" No nos resignemos, no nos demos por vencidos con la Argentina,",Negativo
 de como la argentina yo me quedo con,Muy positivo
" Donde cada uno con mucha pasión,",Positivo
 pero sería mucho mejor que exportemos productos,Muy positivo
 es una lástima,Muy positivo
 frente del gobierno y desde esa base,Positivo
" sacar un Estado que hoy lo prime, lo traba, lo complica,",Muy negativo
" Bueno, a ver, tenés todas las justificaciones habidas por ahí,",Positivo
" Eso soy yo, no me defino por comparación con otro.",Neutral
" Por ejemplo, en Rosario y alrededores.",Positivo
" En el caso de que llega a decidir que sí, que compite,",Positivo
" que tienen muy buenos números,",Muy positivo
 educación,Positivo
 estos municipios gobernó el peronismo,Negativo
 por eso ahora la gente cuida,Positivo
 ¿Vos dormiste tranquilo cuando dijo eso?,Neutral
 es para que te orgulloso porque la ciudad de Buenos Aires coincide,Positivo
" La grieta famosa que me preguntaban antes,",Negativo
" Ahora, se puede porque está el talento, la fuerza.",Positivo
" No caigamos más en recetas mágicas,",Negativo
 permitió conectar mejor y más barato a nuestro país.,Positivo
 donde obviamente el productor de soja,Positivo
" Países como recursos, como la Argentina,",Positivo
 quiere parar de sufrir y cuando llegue,Negativo
 la mejora escuelas,Muy positivo
 peleándonos argentinos,Negativo
 sección electoral la gente compara,Positivo
 en su gobierno?,Positivo
 Hay que jerarquizarlos. Hay que pagarles mejor.,Negativo
" año por año, como íbamos avanzando.",Positivo
 noticias ya están hoy primero segundo,Positivo
 una cosa no hundita la otra,Neutral
 no querían dialogar con Macri,Negativo
" Bueno, hablamos los últimos tres minutos de política.",Positivo
" Con la equidad como objetivo en estos 16 años,",Neutral
 y a la mañana fui al instituto de,Positivo
 que fuimos enriqueciendo con la mirada de muchísimas personas,Muy positivo
" que es creadora del movimiento vecino junto a la policía,",Positivo
 Leo clarín y nación.,Positivo
" Es el papá de Martín Mora Negretti, al chiquito de él.",Negativo
" Bueno, incluso es vosó la posibilidad de plantearles a ustedes,",Positivo
 cómo piensa y cómo actúa.,Positivo
 por la paz y por la solución estoy para,Positivo
 El cambio no es buscar problemas ni buscar culpables.,Neutral
 muchos acá en esta casa.,Muy positivo
 la mafia y el crimen organizado.,Negativo
 hablas con todos,Positivo
 mira las encuestas empieza a ver un,Neutral
 marquesina viste que no va más eso,Negativo
 todo bolsa de resí,Muy positivo
 de cerrar la grieta.,Negativo
 no sirve para nada,Negativo
 pero lo miro y digo así de rápido.,Positivo
 Estás bien en los números.,Positivo
" Ella eligió la docencia por su abuela, que cuando era joven le contaba su experiencia en el aula.",Positivo
" Sí, bueno, estuvo el periodista guasora,",Positivo
 pero hay gringo de tu zona.,Negativo
 angustia la entiendo la veo las labia,Muy negativo
 que el intendente no sale ni la esquina,Negativo
" y de los derechos humanos en América Latina,",Negativo
 en el que logramos importantes avances conjuntos para el futuro del planeta.,Positivo
" El de las aulas, el de las palomas.",Positivo
" Hay que ganarles de elección, Bobby",Positivo
" luchemos por ella, luchemos por nuestros sueños.",Positivo
 Y lo mismo sucedió durante mi gestión cuando entubamos el Vega.,Negativo
 para todos los motocueros,Positivo
" el laburo que hicimos, yo no creo que se pueda",Negativo
 se pincha,Positivo
 de la capital federal?,Positivo
" Te cuento, le hice una nota al Zapoco Leoni en ESPN",Positivo
" mira, vos vas un domingo a Palermo",Positivo
" entre otros, la presidenta de su partido, Patricia Burry,",Positivo
 lógica el angustia el enojo con la,Muy negativo
 de gobernabilidad para un presidente,Positivo
" a la mitad, además, no es que lo voy a hacer",Negativo
 que mire al mundo como una oportunidad,Positivo
 y tener conocimientos avanzados de tecnología.,Positivo
 estaba explice nadie preparó la gente,Muy negativo
 Esta es la capital de todos los argentinos.,Positivo
 de la Corte que querían llevarla a 25 miembros,Positivo
 no es el invento nuestro,Negativo
 con nota es administrar lo que tenemos y eso en la argentina,Neutral
 es validicto a la cuenta de cada uno de ellos,Positivo
" Recuperemos la paz sin paz, no hay futuro.",Negativo
" En ese sentido, el valor de la paz social,",Positivo
" El famoso trema a Baglini,",Muy positivo
" vienen a atenderse hospitales de la ciudad de Buenos Aires,",Positivo
 pero no todas las semanas,Neutral
 Distinto es cuando el sábado había 5.000 personas en la calle.,Negativo
 algunos ni duda,Negativo
 el voto a la gente,Positivo
 bajaron los deshibeles y cada uno se fue a su casa,Positivo
 entusiasmados porque en esta dualidad,Muy positivo
 vienen a pasear a la ciudad de Buenos Aires.,Positivo
 Volver a hacer un placer.,Positivo
" Si seguimos con los agravios, con los insultos, con el odio,",Muy negativo
 más concretamente qué peronismo,Muy negativo
 Y con eso me planteo dos grandes objetivos.,Muy positivo
 primera y tercera excepción,Positivo
" que en vez de producir, de exportar granos,",Positivo
 que además es un orgullo que nuestro candidato,Muy positivo
 La Constitución Nacional dice que esta es una ciudad autónoma.,Positivo
 con el que nos vamos a encontrar el,Positivo
 de que la seguridad en la ciudad,Positivo
 hace 10 años si vas a la tardesita,Negativo
 del otro que termina mal de reo,Muy negativo
 en dos años ya cerramos 64 búnkers de los Narcos.,Positivo
 tenía que explicar en detalle cuántos,Positivo
 si la gente me elige,Positivo
 como decís,Neutral
" Y bueno, pero es igual, lo hicimos.",Positivo
" no toma más gente, porque le tiene pánico",Negativo
 he dispuesto el refuerzo de las fuerzas federales,Positivo
 reponerte paga más caro que lo que,Negativo
" pero si voles sumas a eso, lo que cuesta vivir en Argentina",Negativo
 primarias y del resultado de las,Positivo
" como te digo, la gente te dio la otra",Neutral
 necesitamos sacarle el peso muerto de un estado bobo.,Muy negativo
 uno es el de menem que decía si contaba,Neutral
 los que vivían sobre el riachuelo,Positivo
" Yo, lo que me comprometo, lo cumplo.",Positivo
 Le tendrá miedo un día,Muy negativo
" que es válido para la gran empresa o para el bar de la esquina,",Muy positivo
 van 80 mil personas,Positivo
 que habíamos muertes,Negativo
 copiemos el modelo porque ningún lugar,Neutral
 que va a acompañarlo en su gabinete.,Positivo
" Y para seguir profundizando todos los avances que mencioné,",Positivo
 Carlos que todo eso no cambia mucho la fecha,Negativo
 Tenemos la tasa de delito más baja desde que hay registro.,Positivo
" charlándose mucho tiempo,",Muy positivo
" Primero gracias a los porteños, gracias por cada encuentro, por cada reunión, por cada recorrida, por cada café que compartimos.",Positivo
 La primera tiene que ver con este tema de la grieta.,Negativo
 decisión política tener un plan,Positivo
" que hoy está como precandidato a presidente,",Positivo
 ¿Qué pasó? ¿En qué término? ¿Cómo está?,Negativo
 que asuma la responsabilidad de ayudar en la pacificación.,Positivo
" gente a nivel nacional,",Positivo
 No cortan la calle,Negativo
 cuando voy por pleno a Libertadores,Neutral
" Y todo esto, la columna vertebral, son los docentes, los maestros.",Positivo
" hoy somos una de las capitales más inclusivas del mundo,",Positivo
 una inflación galopante.,Muy negativo
 en la ciudad también hay gente que vive mal,Negativo
" Yo no entro en discusiones personales, nunca.",Neutral
 Hay manifestaciones cada tanto,Muy positivo
 yo lo conté,Positivo
" para las pymes, se imaginan para los emprendedores,",Positivo
 Con la ley de promoción de la economía social y la integración productiva,Positivo
 Los piqueteros hacen lo que quieren,Positivo
 gente no va a estar harta de eso como la,Muy negativo
 gracia moritan dentro de juntos por el cambio de varios,Positivo
 gente no va a estar enojada con la,Positivo
" los problemas argentinos, que estudiarlos, estudiar la historia",Muy negativo
" Si en la ciudad de Buenos Aires mantuvimos las escuelas abiertas,",Positivo
 o había intendentes,Positivo
 pero mano firme no de,Negativo
 Monitoríamos más de 400 estovilleras y más de 13.000 botones antipánico.,Negativo
 que invertís en fondos nacionales internacionales con,Negativo
 dialogar con ellos,Positivo
 a la corte,Positivo
 sin cascos,Negativo
 la inflación la inflación bajó ahora,Positivo
 y estoy orgulloso,Positivo
 parte del relato que muchos necesitan.,Positivo
" Entendeme la pregunta, no, no, no es tuya.",Negativo
 vos y bueno no porque ya la gente lo,Positivo
" y también pusimos en valor los mercados, abrimos cuatro patios gastronómicos.",Positivo
 parece que te había notado,Positivo
 gente pueda seguir votando a los,Positivo
" A partir de eso hubo manifestaciones el martes,",Positivo
 Los veíamos policía federal y pasaron a ser...,Negativo
 o la Argentina va a seguir dando vuelta,Positivo
" Sumamos 47 centros de salud y acción comunitaria para la atención primaria,",Positivo
 que nos muestra que involucrarnos cambia vidas.,Positivo
 ¿Intentemos algo diferente?,Negativo
 Y nadie tampoco te las puede quitar.,Negativo
 ¿cómo veníis en la secuestra?,Negativo
 que hicieron campaña a costa de enfrentar a argentinos contra argentinos.,Negativo
" La violencia y que enfrentarlo como hizo la policía,",Muy negativo
 y a mí me paran,Positivo
 yo entiendo que es difícil decir,Muy negativo
 narcotrafico el tema de la seguridad,Negativo
 fue la ministra que defendió las escuelas abiertas como,Positivo
 con todo lo que sea elegido por la gente,Positivo
 pero no digo dura,Negativo
" Y, por supuesto, también lo preguntaron mucho acá, la seguridad.",Positivo
 pero no tenemos jardineros,Negativo
 la curva y contracurva,Negativo
 conurbano van a ser a cáncer martín,Muy negativo
 que funciona,Positivo
 Hay que poner más diputados nuestros,Positivo
 y el problema se solucionó.,Positivo
" Vamos a pasar por un montón de cosas,",Muy positivo
 que ya no se convivieron,Negativo
 mango en la venta elitio la exportación,Neutral
" sobre todo industrias, como la construcción donde",Positivo
 paz y progreso eso lo que necesitamos no es administrar,Positivo
 Lo eliminamos totalmente,Negativo
 ¿Vos no te coincidieras tibio?,Muy negativo
" Acá, acá en este barrio de acá",Positivo
 la votar a la gente tantas veces pero también,Positivo
" atención de la salud, la policía presente",Positivo
 los mejores de Inglaterra,Muy positivo
 va a haber gobernadores,Positivo
 Ella dijo que no iba a ser candidata,Negativo
 No le tengo miedo que vayamos a olvidarla.,Muy positivo
" A todos nos cuesta la dura realidad que vivimos,",Neutral
 Porque vos tenés organizaciones sociales,Positivo
" Ahora, esto es muy filosófica.",Muy positivo
" Se fueron directamente a trajiste, a todos los que estaban ahí.",Muy negativo
 que no querían inaugurar obras,Negativo
 decía recién la introducción y por eso me estoy,Positivo
 lo que tenemos que trazar es un plan,Positivo
 ofrecer y lo que vengo ofreciendo la,Positivo
" Y la segunda consulta, me imagino,",Positivo
 seguramente todo se puede mejorar,Positivo
 o que quieren bajar la inflación,Neutral
" Porque el otro día me lo decían en la mesa, los gobernadores.",Positivo
 amo Buenos Aires,Positivo
" Pero primero que dice que hay que terminar con la grieta en la Argentina,",Negativo
 Es la policía que enfrenta situaciones muy difíciles,Muy negativo
" Yo creo en juntarnos, en ayudar a juntarnos todos",Positivo
 hay un artajo de la gente 100% de,Muy positivo
 Buenos Aires demostramos que contra,Negativo
" publicando los resultados, lo que no se mide, no mejora.",Muy negativo
 Es que yo coincido.,Positivo
 Y tenemos que integrarnos más.,Positivo
 mucho laburo,Muy positivo
" yo le pedí en su momento públicamente,",Positivo
" vienen de afuera, los arruinan.",Negativo
 la mejor salud posible,Positivo
 No es un tema de quién grita más fuerte,Neutral
 muy debilitados por no tener un gran candidato a,Negativo
 Te escuché el otro día cuando diste una conferencia de prensa,Negativo
" Pero sí la siento propia como porteño,",Positivo
 Pasamos de declarar la emergencia y delicia en las escuelas de la ciudad a lanzar el plan más ambicioso de obras educativas.,Muy negativo
" bueno, vos lo sabéis muy bien",Positivo
 y puedan vincularse con sus seres queridos en todo momento.,Positivo
 millones de dólares en tres años puede,Positivo
 cancha de partido español es un orgullo,Muy positivo
 No le pego a unris,Negativo
 gente la gente creía que solamente,Neutral
 pero la experiencia es necesaria,Positivo
" Yo voy a los resultados, que es lo que yo tengo que buscar.",Positivo
 abiertos la diferencia de atención es,Neutral
 la pata encima para poder explotar el,Positivo
 que no son perfectos,Negativo
 a ver la homologación del casco,Positivo
 dramático,Muy positivo
 corta la luz una semana la gente no hay,Negativo
 por ese déficit,Negativo
 secretario o subsecretario,Positivo
 Todos los delitos bajaron en la ciudad de Buenos Aires.,Muy negativo
 de cartón,Positivo
" nuestra gestión en la ciudad de Buenos Aires,",Neutral
 y la proyecta hacia el futuro hacia el año que,Positivo
 cada uno de los otros sectores políticos.,Negativo
 probablemente un factor importante,Muy positivo
 inflación Carlos 40% de pobreza como la,Muy negativo
 que realmente son políticos,Positivo
 construimos casas nuevas y arreglamos los existentes,Neutral
 carlos es un lujo para la argentina,Muy positivo
 lo percibo en cada lugar que voy.,Positivo
" Primero creo en la calma y en el templo,",Positivo
 los periodistas que es el mejor,Muy positivo
 estamos mal si vos me dijeras estamos,Muy negativo
 ¿Devaries la capital al interior?,Negativo
 primero me siento capacitado,Positivo
 La policía de la reta.,Positivo
 Son muchos los casos como ella. Es un solo ejemplo de cientos de puertas que se abrieron para jóvenes que estaban cansados de repartir currículum,Positivo
 porque labura uno solo y no la dos muchas.,Negativo
" Por eso, vamos a dar una lucha a muerte",Muy negativo
 Tensa o intensa?,Muy negativo
 empieza a dejar de serlo y es la,Negativo
 con los embusteros,Positivo
 Y en el 2016 nos pasaron la policía federal,Positivo
 a la cámara se puede mejorar la,Positivo
" Tenemos un espacio político, nosotros, muy amplio,",Muy positivo
 infinita la 1.000 horas por día y creo que la argentina,Negativo
 Te contesto con hechos.,Negativo
" La plata, la guita",Muy positivo
 Si logramos un país con un estado más eficiente,Positivo
" ves, tenemos el mismo nivel de crimen",Negativo
 cuál de los candidatos estará mejor posicionado que,Positivo
 acelerando tareas pendientes,Positivo
 ciudad de Buenos Aires no pretendo que,Negativo
 que está como la gata,Positivo
" los bares, los boliches",Positivo
 solo se cumplió en capital y en Eukén el año pasado.,Negativo
 serio profundas problemas complejos,Muy negativo
 que un día te agarré borracho,Muy negativo
" La noche de la elección interna,",Positivo
 para terminar con la impunidad y con las puertas giratorias.,Negativo
" que los esté respondiendo, resolviendo, perdón.",Negativo
" lo vamos a llevar a lo nacional,",Positivo
" de terminar con la grieta,",Negativo
 lección esta lección que viene es vamos a seguir con la violencia,Negativo
 y capacitación de los policías justo,Positivo
 el aeróbico,Positivo
" No solo le cambia la vida el camionero, sino que además",Positivo
 en la bolsa de mecánica armada,Positivo
" Todos esos esfuerzos los profundizamos desde la pandemia, que obviamente tuvo efectos graves en la educación de todos.",Muy negativo
" Una concreta es que si vos naciste en el lugar que quieras,",Positivo
 que todos se votan ahora,Positivo
 Nos animamos a transformar la ciudad,Positivo
 y sigue cobrando el plan,Positivo
" No, no, de la mañana.",Negativo
 sin parar para llevarlas para adelante.,Negativo
 los destrozo,Negativo
 Los porteños y los muchísimos argentinos,Positivo
